academic_year,year_begin,year_end,intensive_I_begin,intensive_I_end,PI_begin,PI_end,exam_I_begin,exam_I_end,PII_begin,PII_end,exam_II_begin,exam_II_end,intensive_II_begin,intensive_II_end,PIII_begin,PIII_end,exam_III_begin,exam_III_end,PIV_begin,PIV_end,easter_break_begin,easter_break end,exam_IV_begin,exam_IV_end,intensive_III_begin,intensive_III_end
2020-2021,2020-08-01,2021-07-31,2020-08-24,2020-08-30,2020-08-31,2020-10-18,2020-10-19,2020-10-25,2020-10-26,2020-12-13,2020-12-14,2020-12-20,2021-01-04,2021-01-17,2021-01-18,2021-03-07,2021-03-08,2021-03-14,2021-03-15,2021-05-09,2021-04-01,2021-04-07,2021-05-10,2021-05-16,2021-05-10,2021-05-31
2021-2022,2021-08-01,2022-07-31,2021-08-30,2021-09-05,2021-09-06,2021-10-24,2021-10-25,2021-10-31,2021-11-01,2021-12-19,2021-12-20,2021-12-26,2022-01-03,2022-01-16,2022-01-17,2022-03-06,2022-03-07,2022-03-13,2022-03-14,2022-05-08,2022-04-14,2022-04-20,2022-05-09,2022-05-15,2022-05-09,2022-05-31
2022-2023,2022-08-01,2023-07-31,2022-08-29,2022-09-04,2022-09-05,2022-10-23,2022-10-24,2022-10-30,2022-10-31,2022-12-18,2022-12-19,2022-12-25,2023-01-02,2023-01-15,2023-01-16,2023-03-05,2023-03-06,2023-03-12,2023-03-13,2023-05-07,2023-04-06,2023-04-12,2023-05-08,2023-05-14,2023-05-08,2023-05-31
2023-2024,2023-08-01,2024-07-31,2023-08-28,2023-09-03,2023-09-04,2023-10-22,2023-10-23,2023-10-29,2023-10-30,2023-12-17,2023-12-18,2023-12-24,2024-01-02,2024-01-14,2024-01-15,2024-03-03,2024-03-04,2024-03-10,2024-03-11,2024-05-05,2024-03-28,2024-04-03,2024-05-06,2024-05-12,2024-05-06,2024-05-31
2024-2025,2024-08-01,2025-07-31,2024-08-26,2024-09-01,2024-09-02,2024-10-20,2024-10-21,2024-10-27,2024-10-28,2024-12-15,2024-12-16,2024-12-22,2025-01-02,2025-01-12,2025-01-13,2025-03-02,2025-03-03,2025-03-09,2025-03-10,2025-05-04,2025-04-17,2025-04-23,2025-05-05,2025-05-11,2025-05-05,2025-05-31
2025-2026,2025-08-01,2026-07-31,2025-08-25,2025-08-31,2025-09-01,2025-10-19,2025-10-20,2025-10-26,2025-10-27,2025-12-14,2025-12-15,2025-12-21,2026-01-02,2026-01-11,2026-01-12,2026-03-01,2026-03-02,2026-03-08,2026-03-09,2026-05-03,2026-04-02,2026-04-08,2026-05-04,2026-05-10,2026-05-04,2026-05-31
2026-2027,2026-08-01,2027-07-31,2026-08-24,2026-08-30,2026-08-31,2026-10-18,2026-10-19,2026-10-25,2026-10-26,2026-12-13,2026-12-14,2026-12-20,2027-01-04,2027-01-17,2027-01-18,2027-03-07,2027-03-08,2027-03-14,2027-03-15,2027-05-09,2027-03-25,2027-03-31,2027-05-10,2027-05-16,2027-05-10,2027-05-31
2027-2028,2027-08-01,2028-07-31,2027-08-30,2027-09-05,2027-09-06,2027-10-24,2027-10-25,2027-10-31,2027-11-01,2027-12-19,2027-12-20,2027-12-26,2028-01-03,2028-01-16,2028-01-17,2028-03-05,2028-03-06,2028-03-12,2028-03-13,2028-05-07,2028-04-13,2028-04-19,2028-05-08,2028-05-14,2028-05-08,2028-05-31
2028-2029,2028-08-01,2029-07-31,2028-08-28,2028-09-03,2028-09-04,2028-10-22,2028-10-23,2028-10-29,2028-10-30,2028-12-17,2028-12-18,2028-12-24,2029-01-02,2029-01-14,2029-01-15,2029-03-04,2029-03-05,2029-03-11,2029-03-12,2029-05-06,2029-03-29,2029-04-04,2029-05-07,2029-05-13,2029-05-07,2029-05-31
2029-2030,2029-08-01,2030-07-31,2029-08-27,2029-09-02,2029-09-03,2029-10-21,2029-10-22,2029-10-28,2029-10-29,2029-12-16,2029-12-17,2029-12-23,2030-01-02,2030-01-13,2030-01-14,2030-03-03,2030-03-04,2030-03-10,2030-03-11,2030-05-05,2030-04-18,2030-04-24,2030-05-06,2030-05-12,2030-05-06,2030-05-31
2030-2031,2030-08-01,2031-07-31,2030-08-26,2030-09-01,2030-09-02,2030-10-20,2030-10-21,2030-10-27,2030-10-28,2030-12-15,2030-12-16,2030-12-22,2031-01-02,2031-01-12,2031-01-13,2031-03-02,2031-03-03,2031-03-09,2031-03-10,2031-05-04,2031-04-10,2031-04-16,2031-05-05,2031-05-11,2031-05-05,2031-05-31
2031-2032,2031-08-01,2032-07-31,2031-08-25,2031-08-31,2031-09-01,2031-10-19,2031-10-20,2031-10-26,2031-10-27,2031-12-14,2031-12-15,2031-12-21,2032-01-02,2032-01-11,2032-01-12,2032-02-29,2032-03-01,2032-03-07,2032-03-08,2032-05-02,2032-03-25,2032-03-31,2032-05-03,2032-05-09,2032-05-10,2032-05-31
